repo,BIC_sha,bug0_types,BFC_sha,bug1_types,fix_period
fontforge/fontforge,36554a668c7cf3445a5e9eae0cffb675d20395e4,Memory leak,a18865e9a215639ce1e7e229387dac87c87c5002,Use after free,84
sparklemotion/nokogiri,2675a7527c,Memory leak,3146e4dfe3dd105826ac993e017b930856010356,Use after free,126
libusb/libusb,05b0b55b,Memory leak,fc9962027f2c4f22f2c5e7853d737ef89aa5b6a3,Null pointer dereference,46
haproxy/haproxy,2462e5bcc,Memory leak,9d4a44e7137fba2c7ca2823174ba1168290a1c3b,Memory leak,81
gluster/glusterfs,70e6ee2,Buffer overflow,759ec2877c5d044af0f2739cd543fbbbb0c26c00,Use after free,1
gluster/glusterfs,2ca6441,Memory leak,63ad603542044e473118d33bcc02f121c86beaa7,Use after free,8
gpac/gpac,7bb1b4a4,Double free,d003a572d57940460eb0bffbdbb824b59d4ddac9,Memory leak,0
gpac/gpac,6426ef84,Memory leak,a89d242108f7abf6d099cf983f0fd422ac461cd6,Double free,0
asterisk/asterisk,776a14386a55b5425c7e9617eff8af8b45427144,Memory leak,0b588778c0d2400e53e7dff6a3a270579acd51d6,Null pointer dereference,2591
asterisk/asterisk,0b6410c4f8,Memory leak,39d3e1ef6e4ab4a5fd64418a01bd1a3cedef699e,Double free,1
profanity-im/profanity,b6bb50ceb28250317351fd5115e3f187f0c56fba,Use after free,88d383b052cb7f6e8afcd15dc8043bb683f8a687,Double free,14
OSGeo/grass,bf53e3a3608f7fddcea15190b86d3c232a2518fd,Memory leak,9ee21ec1c83b0e70a0971d569187972cb6c068cf,Memory leak,1
bluez/bluez,caa5835cd805e9771cddef35906a31cce0232dde,Memory leak,c9a87056d733bc23279b30243f03923e53153a94,Double free,1
pmodels/mpich,f7470a15,Null pointer dereference,e0fd81a2bbd2bc00c4d4ff55c9035c2bf33a3c7a,Memory leak,3
kamailio/kamailio,cf8d6066afc102d5904dddec0275079885f0ead1,Memory leak,c73a7eab210c7806c9d5fadacac1d3acc0ad6580,Double free,0
curl/curl,3a6fe0c,Null pointer dereference,6e241bbf1dd7bce1ffc2ec65ff48205769a6b95f,Memory leak,53
libvirt/libvirt,5fa3d775a9f8cdb3423373eb084219aaf778df11,Memory leak,15fd90b6411e0598dd820b33bbda8d4379da8693,Use of uninitialized value,21
ClusterLabs/pacemaker,755fb18b,Null pointer dereference,c51f5d768c3f7eba600b9b78cbddb0447523fd20,Memory leak,10
ClusterLabs/pacemaker,c29102d,Use after free,9af4d96307bf0fc993520e2db7a70ee48d7c10ae,Use after free,3
mruby/mruby,714e8a57af690805b3edcffdffc42729833bc50a,Buffer overflow,b84bca666fdc4fe94286b49b6f6b9a64e4c3a534,Buffer overflow,0
mruby/mruby,23783a44300a39efbbc312a6ca22fe61d94db857,Null pointer dereference,8294ce9fd458a0a1acf8fcdcb6161b4a020866ad,Use of uninitialized value,7
mruby/mruby,42d23084b72541b74e9f4cc279afc5f89f89d4e1,Null pointer dereference,c32cac6e59a899497c603025b74fcfd316282f36,Use after free,2626
mruby/mruby,e61a2881a7c9adc895416fdd409e7362130198d3,Buffer overflow,abcad36bae43f2c7cb8c2b1753dc94ab4cf25366,Buffer overflow,9
libarchive/libarchive,d9a8da4d9c89d0048fd46ad62d210ec9ec6e8d9c,Integer overflow,c9267d665c30fa78023bd70b8e9c6f02450777e2,Use after free,226
libarchive/libarchive,5405343bfd53830b3d018b2d982845de851aba5c,Integer overflow,39736c43bd7374beedb372aa300ecf36c9fc4733,Buffer overflow,4
libarchive/libarchive,52efa50c69653029687bfc545703b7340b7a51e2,Use after free,1271f775dc917798ad7d03c3b3bd66bacad03603,Null pointer dereference,2
OpenSIPS/opensips,90aa25e64f36b22fbcae9aae910257b43f81641f,Buffer overflow,51b908f8fde0aa2eac8dbcfff319281625d6f3f2,Buffer overflow,1
OpenSC/OpenSC,6085994384a7171c5c68f6718d9db10ed77c5af1,Memory leak,50f0985f6343eeac4044661d56807ee9286db42c,Buffer overflow,69
libgd/libgd,118fc7098bca6c24b2425b98f123de08896b7510,Buffer overflow,ba14dec6efe9d87fe80fa1d7bd3d5b0583e1320e,Buffer overflow,1908
radareorg/radare2,917fcda0ad78ff0f444e9807838b1e4b86349cd0,Memory leak,5d65cbe1f7d677a22c0fca593dcae1aebf8cf35b,Use after free,0
DanBloomberg/leptonica,8fc49016cf44ecbbab28979442e2781bd064584e,Devide by zero,f301010cd4495a11d96504642737a85c386e6618,Null pointer dereference,4
GNOME/libxml2,1fbcf4098ba2aefe241de8d7ceb229b995d8daec,Buffer overflow,664f881008f40356c0502c8cc154e17e3c80e353,Use after free,2
libsdl-org/libtiff,07d79fcac2ead271b60e32aeb80f7b4f3be9ac8c,Buffer overflow,82a7fbb1fa7228499ffeb3a57a1d106a9626d57c,Buffer overflow,360
